Index: 0, Class ID: n01440764, Label: tench
Index: 1, Class ID: n01443537, Label: goldfish
Index: 2, Class ID: n01484850, Label: great_white_shark
Index: 3, Class ID: n01491361, Label: tiger_shark
Index: 4, Class ID: n01494475, Label: hammerhead
Index: 5, Class ID: n01496331, Label: electric_ray
Index: 6, Class ID: n01498041, Label: stingray
Index: 7, Class ID: n01514668, Label: cock
Index: 8, Class ID: n01514859, Label: hen
Index: 9, Class ID: n01518878, Label: ostrich
Index: 10, Class ID: n01530575, Label: brambling
Index: 11, Class ID: n01531178, Label: goldfinch
Index: 12, Class ID: n01532829, Label: house_finch
Index: 13, Class ID: n01534433, Label: junco
Index: 14, Class ID: n01537544, Label: indigo_bunting
Index: 15, Class ID: n01558993, Label: robin
Index: 16, Class ID: n01560419, Label: bulbul
Index: 17, Class ID: n01580077, Label: jay
Index: 18, Class ID: n01582220, Label: magpie
Index: 19, Class ID: n01592084, Label: chickadee
Index: 20, Class ID: n01601694, Label: water_ouzel
Index: 21, Class ID: n01608432, Label: kite
Index: 22, Class ID: n01614925, Label: bald_eagle
Index: 23, Class ID: n01616318, Label: vulture
Index: 24, Class ID: n01622779, Label: great_grey_owl
Index: 25, Class ID: n01629819, Label: European_fire_salamander
Index: 26, Class ID: n01630670, Label: common_newt
Index: 27, Class ID: n01631663, Label: eft
Index: 28, Class ID: n01632458, Label: spotted_salamander
Index: 29, Class ID: n01632777, Label: axolotl
Index: 30, Class ID: n01641577, Label: bullfrog
Index: 31, Class ID: n01644373, Label: tree_frog
Index: 32, Class ID: n01644900, Label: tailed_frog
Index: 33, Class ID: n01664065, Label: loggerhead
Index: 34, Class ID: n01665541, Label: leatherback_turtle
Index: 35, Class ID: n01667114, Label: mud_turtle
Index: 36, Class ID: n01667778, Label: terrapin
Index: 37, Class ID: n01669191, Label: box_turtle
Index: 38, Class ID: n01675722, Label: banded_gecko
Index: 39, Class ID: n01677366, Label: common_iguana
Index: 40, Class ID: n01682714, Label: American_chameleon
Index: 41, Class ID: n01685808, Label: whiptail
Index: 42, Class ID: n01687978, Label: agama
Index: 43, Class ID: n01688243, Label: frilled_lizard
Index: 44, Class ID: n01689811, Label: alligator_lizard
Index: 45, Class ID: n01692333, Label: Gila_monster
Index: 46, Class ID: n01693334, Label: green_lizard
Index: 47, Class ID: n01694178, Label: African_chameleon
Index: 48, Class ID: n01695060, Label: Komodo_dragon
Index: 49, Class ID: n01697457, Label: African_crocodile
Index: 50, Class ID: n01698640, Label: American_alligator
Index: 51, Class ID: n01704323, Label: triceratops
Index: 52, Class ID: n01728572, Label: thunder_snake
Index: 53, Class ID: n01728920, Label: ringneck_snake
Index: 54, Class ID: n01729322, Label: hognose_snake
Index: 55, Class ID: n01729977, Label: green_snake
Index: 56, Class ID: n01734418, Label: king_snake
Index: 57, Class ID: n01735189, Label: garter_snake
Index: 58, Class ID: n01737021, Label: water_snake
Index: 59, Class ID: n01739381, Label: vine_snake
Index: 60, Class ID: n01740131, Label: night_snake
Index: 61, Class ID: n01742172, Label: boa_constrictor
Index: 62, Class ID: n01744401, Label: rock_python
Index: 63, Class ID: n01748264, Label: Indian_cobra
Index: 64, Class ID: n01749939, Label: green_mamba
Index: 65, Class ID: n01751748, Label: sea_snake
Index: 66, Class ID: n01753488, Label: horned_viper
Index: 67, Class ID: n01755581, Label: diamondback
Index: 68, Class ID: n01756291, Label: sidewinder
Index: 69, Class ID: n01768244, Label: trilobite
Index: 70, Class ID: n01770081, Label: harvestman
Index: 71, Class ID: n01770393, Label: scorpion
Index: 72, Class ID: n01773157, Label: black_and_gold_garden_spider
Index: 73, Class ID: n01773549, Label: barn_spider
Index: 74, Class ID: n01773797, Label: garden_spider
Index: 75, Class ID: n01774384, Label: black_widow
Index: 76, Class ID: n01774750, Label: tarantula
Index: 77, Class ID: n01775062, Label: wolf_spider
Index: 78, Class ID: n01776313, Label: tick
Index: 79, Class ID: n01784675, Label: centipede
Index: 80, Class ID: n01795545, Label: black_grouse
Index: 81, Class ID: n01796340, Label: ptarmigan
Index: 82, Class ID: n01797886, Label: ruffed_grouse
Index: 83, Class ID: n01798484, Label: prairie_chicken
Index: 84, Class ID: n01806143, Label: peacock
Index: 85, Class ID: n01806567, Label: quail
Index: 86, Class ID: n01807496, Label: partridge
Index: 87, Class ID: n01817953, Label: African_grey
Index: 88, Class ID: n01818515, Label: macaw
Index: 89, Class ID: n01819313, Label: sulphur-crested_cockatoo
Index: 90, Class ID: n01820546, Label: lorikeet
Index: 91, Class ID: n01824575, Label: coucal
Index: 92, Class ID: n01828970, Label: bee_eater
Index: 93, Class ID: n01829413, Label: hornbill
Index: 94, Class ID: n01833805, Label: hummingbird
Index: 95, Class ID: n01843065, Label: jacamar
Index: 96, Class ID: n01843383, Label: toucan
Index: 97, Class ID: n01847000, Label: drake
Index: 98, Class ID: n01855032, Label: red-breasted_merganser
Index: 99, Class ID: n01855672, Label: goose
Index: 100, Class ID: n01860187, Label: black_swan
Index: 101, Class ID: n01871265, Label: tusker
Index: 102, Class ID: n01872401, Label: echidna
Index: 103, Class ID: n01873310, Label: platypus
Index: 104, Class ID: n01877812, Label: wallaby
Index: 105, Class ID: n01882714, Label: koala
Index: 106, Class ID: n01883070, Label: wombat
Index: 107, Class ID: n01910747, Label: jellyfish
Index: 108, Class ID: n01914609, Label: sea_anemone
Index: 109, Class ID: n01917289, Label: brain_coral
Index: 110, Class ID: n01924916, Label: flatworm
Index: 111, Class ID: n01930112, Label: nematode
Index: 112, Class ID: n01943899, Label: conch
Index: 113, Class ID: n01944390, Label: snail
Index: 114, Class ID: n01945685, Label: slug
Index: 115, Class ID: n01950731, Label: sea_slug
Index: 116, Class ID: n01955084, Label: chiton
Index: 117, Class ID: n01968897, Label: chambered_nautilus
Index: 118, Class ID: n01978287, Label: Dungeness_crab
Index: 119, Class ID: n01978455, Label: rock_crab
Index: 120, Class ID: n01980166, Label: fiddler_crab
Index: 121, Class ID: n01981276, Label: king_crab
Index: 122, Class ID: n01983481, Label: American_lobster
Index: 123, Class ID: n01984695, Label: spiny_lobster
Index: 124, Class ID: n01985128, Label: crayfish
Index: 125, Class ID: n01986214, Label: hermit_crab
Index: 126, Class ID: n01990800, Label: isopod
Index: 127, Class ID: n02002556, Label: white_stork
Index: 128, Class ID: n02002724, Label: black_stork
Index: 129, Class ID: n02006656, Label: spoonbill
Index: 130, Class ID: n02007558, Label: flamingo
Index: 131, Class ID: n02009229, Label: little_blue_heron
Index: 132, Class ID: n02009912, Label: American_egret
Index: 133, Class ID: n02011460, Label: bittern
Index: 134, Class ID: n02012849, Label: crane
Index: 135, Class ID: n02013706, Label: limpkin
Index: 136, Class ID: n02017213, Label: European_gallinule
Index: 137, Class ID: n02018207, Label: American_coot
Index: 138, Class ID: n02018795, Label: bustard
Index: 139, Class ID: n02025239, Label: ruddy_turnstone
Index: 140, Class ID: n02027492, Label: red-backed_sandpiper
Index: 141, Class ID: n02028035, Label: redshank
Index: 142, Class ID: n02033041, Label: dowitcher
Index: 143, Class ID: n02037110, Label: oystercatcher
Index: 144, Class ID: n02051845, Label: pelican
Index: 145, Class ID: n02056570, Label: king_penguin
Index: 146, Class ID: n02058221, Label: albatross
Index: 147, Class ID: n02066245, Label: grey_whale
Index: 148, Class ID: n02071294, Label: killer_whale
Index: 149, Class ID: n02074367, Label: dugong
Index: 150, Class ID: n02077923, Label: sea_lion
Index: 151, Class ID: n02085620, Label: Chihuahua
Index: 152, Class ID: n02085782, Label: Japanese_spaniel
Index: 153, Class ID: n02085936, Label: Maltese_dog
Index: 154, Class ID: n02086079, Label: Pekinese
Index: 155, Class ID: n02086240, Label: Shih-Tzu
Index: 156, Class ID: n02086646, Label: Blenheim_spaniel
Index: 157, Class ID: n02086910, Label: papillon
Index: 158, Class ID: n02087046, Label: toy_terrier
Index: 159, Class ID: n02087394, Label: Rhodesian_ridgeback
Index: 160, Class ID: n02088094, Label: Afghan_hound
Index: 161, Class ID: n02088238, Label: basset
Index: 162, Class ID: n02088364, Label: beagle
Index: 163, Class ID: n02088466, Label: bloodhound
Index: 164, Class ID: n02088632, Label: bluetick
Index: 165, Class ID: n02089078, Label: black-and-tan_coonhound
Index: 166, Class ID: n02089867, Label: Walker_hound
Index: 167, Class ID: n02089973, Label: English_foxhound
Index: 168, Class ID: n02090379, Label: redbone
Index: 169, Class ID: n02090622, Label: borzoi
Index: 170, Class ID: n02090721, Label: Irish_wolfhound
Index: 171, Class ID: n02091032, Label: Italian_greyhound
Index: 172, Class ID: n02091134, Label: whippet
Index: 173, Class ID: n02091244, Label: Ibizan_hound
Index: 174, Class ID: n02091467, Label: Norwegian_elkhound
Index: 175, Class ID: n02091635, Label: otterhound
Index: 176, Class ID: n02091831, Label: Saluki
Index: 177, Class ID: n02092002, Label: Scottish_deerhound
Index: 178, Class ID: n02092339, Label: Weimaraner
Index: 179, Class ID: n02093256, Label: Staffordshire_bullterrier
Index: 180, Class ID: n02093428, Label: American_Staffordshire_terrier
Index: 181, Class ID: n02093647, Label: Bedlington_terrier
Index: 182, Class ID: n02093754, Label: Border_terrier
Index: 183, Class ID: n02093859, Label: Kerry_blue_terrier
Index: 184, Class ID: n02093991, Label: Irish_terrier
Index: 185, Class ID: n02094114, Label: Norfolk_terrier
Index: 186, Class ID: n02094258, Label: Norwich_terrier
Index: 187, Class ID: n02094433, Label: Yorkshire_terrier
Index: 188, Class ID: n02095314, Label: wire-haired_fox_terrier
Index: 189, Class ID: n02095570, Label: Lakeland_terrier
Index: 190, Class ID: n02095889, Label: Sealyham_terrier
Index: 191, Class ID: n02096051, Label: Airedale
Index: 192, Class ID: n02096177, Label: cairn
Index: 193, Class ID: n02096294, Label: Australian_terrier
Index: 194, Class ID: n02096437, Label: Dandie_Dinmont
Index: 195, Class ID: n02096585, Label: Boston_bull
Index: 196, Class ID: n02097047, Label: miniature_schnauzer
Index: 197, Class ID: n02097130, Label: giant_schnauzer
Index: 198, Class ID: n02097209, Label: standard_schnauzer
Index: 199, Class ID: n02097298, Label: Scotch_terrier
Index: 200, Class ID: n02097474, Label: Tibetan_terrier
Index: 201, Class ID: n02097658, Label: silky_terrier
Index: 202, Class ID: n02098105, Label: soft-coated_wheaten_terrier
Index: 203, Class ID: n02098286, Label: West_Highland_white_terrier
Index: 204, Class ID: n02098413, Label: Lhasa
Index: 205, Class ID: n02099267, Label: flat-coated_retriever
Index: 206, Class ID: n02099429, Label: curly-coated_retriever
Index: 207, Class ID: n02099601, Label: golden_retriever
Index: 208, Class ID: n02099712, Label: Labrador_retriever
Index: 209, Class ID: n02099849, Label: Chesapeake_Bay_retriever
Index: 210, Class ID: n02100236, Label: German_short-haired_pointer
Index: 211, Class ID: n02100583, Label: vizsla
Index: 212, Class ID: n02100735, Label: English_setter
Index: 213, Class ID: n02100877, Label: Irish_setter
Index: 214, Class ID: n02101006, Label: Gordon_setter
Index: 215, Class ID: n02101388, Label: Brittany_spaniel
Index: 216, Class ID: n02101556, Label: clumber
Index: 217, Class ID: n02102040, Label: English_springer
Index: 218, Class ID: n02102177, Label: Welsh_springer_spaniel
Index: 219, Class ID: n02102318, Label: cocker_spaniel
Index: 220, Class ID: n02102480, Label: Sussex_spaniel
Index: 221, Class ID: n02102973, Label: Irish_water_spaniel
Index: 222, Class ID: n02104029, Label: kuvasz
Index: 223, Class ID: n02104365, Label: schipperke
Index: 224, Class ID: n02105056, Label: groenendael
Index: 225, Class ID: n02105162, Label: malinois
Index: 226, Class ID: n02105251, Label: briard
Index: 227, Class ID: n02105412, Label: kelpie
Index: 228, Class ID: n02105505, Label: komondor
Index: 229, Class ID: n02105641, Label: Old_English_sheepdog
Index: 230, Class ID: n02105855, Label: Shetland_sheepdog
Index: 231, Class ID: n02106030, Label: collie
Index: 232, Class ID: n02106166, Label: Border_collie
Index: 233, Class ID: n02106382, Label: Bouvier_des_Flandres
Index: 234, Class ID: n02106550, Label: Rottweiler
Index: 235, Class ID: n02106662, Label: German_shepherd
Index: 236, Class ID: n02107142, Label: Doberman
Index: 237, Class ID: n02107312, Label: miniature_pinscher
Index: 238, Class ID: n02107574, Label: Greater_Swiss_Mountain_dog
Index: 239, Class ID: n02107683, Label: Bernese_mountain_dog
Index: 240, Class ID: n02107908, Label: Appenzeller
Index: 241, Class ID: n02108000, Label: EntleBucher
Index: 242, Class ID: n02108089, Label: boxer
Index: 243, Class ID: n02108422, Label: bull_mastiff
Index: 244, Class ID: n02108551, Label: Tibetan_mastiff
Index: 245, Class ID: n02108915, Label: French_bulldog
Index: 246, Class ID: n02109047, Label: Great_Dane
Index: 247, Class ID: n02109525, Label: Saint_Bernard
